1, 144, 97, 6, 92
2, 152, 24, 81, 96, 24, 81, 81, 24, 96
3, 240, 95, 100, 95, 100
4, 144, 97, 6, 92
5, 171, 97, 6, 92
6, 1
7, 144, 97, 6, 92
8, 1
9, 126, 97, 6, 92
10, 126, 97, 6, 92
11, 132, 97, 6, 92
12, 131, 97, 6, 92
13, 144, 97, 6, 92
14, 170, 97, 6, 92
15, 138, 97, 6, 92
16, 131, 97, 6, 92
17, 144, 97, 6, 92
18, 138, 97, 6, 92
19, 129, 97, 6, 92
20, 147, 97, 6, 92
21, 134, 97, 6, 92
22, 138, 97, 6, 92
23, 130, 97, 6, 92
24, 125, 2, 81
25, 173, 97, 6, 92, 44
26, 128, 97, 6, 92
27, 142, 97, 6, 92
28, 163, 97, 6, 92
29, 148, 97, 6, 92
30, 152, 24, 81, 96, 24, 81, 81, 24, 96
31, 140, 97, 6, 92
32, 130, 97, 6, 92
33, 143, 97, 6, 92
34, 144, 97, 6, 92
35, 131, 97, 6, 92
36, 126, 97, 6, 92
37, 127, 97, 6, 92
38, 127, 97, 6, 92
39, 143, 97, 6, 92
40, 132, 97, 6, 92
41, 146, 97, 6, 92
42, 146, 97, 6, 92
43, 147, 97, 6, 92
44, 136, 97, 6, 92
45, 137, 97, 6, 92
46, 159, 97, 6, 92
47, 144, 97, 6, 92
48, 127, 97, 6, 92
49, 131, 97, 6, 92
50, 127, 97, 6, 92
51, 152, 97, 6, 92
52, 132, 97, 6, 92
53, 129, 97, 6, 92
54, 131, 97, 6, 92
55, 144, 97, 6, 92
56, 139, 97, 6, 92
57, 138, 97, 6, 92
58, 131, 97, 6, 92
59, 127, 97, 6, 92
60, 119, 97, 6, 92
61, 125, 97, 6, 92
62, 127, 97, 6, 92
63, 132, 97, 6, 92
64, 131, 97, 6, 92
65, 131, 97, 6, 92
66, 130, 97, 6, 92
67, 128, 97, 6, 92
68, 142, 97, 6, 92
69, 130, 97, 6, 92
70, 126, 97, 6, 92
71, 137, 97, 6, 92
72, 131, 97, 6, 92
73, 128, 97, 6, 92
74, 127, 97, 6, 92
75, 143, 97, 6, 92
76, 134, 97, 6, 92
77, 128, 97, 6, 92
78, 143, 97, 6, 92
79, 130, 97, 6, 92, 15
80, 127, 97, 6, 92
81, 194, 24, 81, 96, 24, 81, 81, 24, 96
82, 131, 97, 6, 92
83, 138, 97, 6, 92
84, 275, 97, 6, 92
85, 128, 97, 6, 92
86, 126, 97, 6, 92
87, 133, 97, 6, 92
88, 132, 97, 6, 92
89, 136, 97, 6, 92
90, 129, 97, 6, 92
91, 227, 95, 100, 95, 100
92, 178, 47
93, 178, 47
94, 1064, 95, 100, 95, 100
95, 0
96, 9
97, 100, 47
98, 157
99, 70, 83, 61, 31
100, 65
